,name,jd,m,r,x,y,z,vx,vy,vz
0,Sun (10),2460795.500800758,1.9884903130782954e+33,69570000000.0,-72818267325.27126,-78710838365.87045,2466986613.856705,1256.0008266459956,-401.39660964158554,-21.6726722536354
1,Mercury (199),2460795.500800758,3.301134179798413e+26,243950000.0,2484797983553.97,-6187481634369.908,-731340789230.6544,3519056.812853298,2125744.1074329517,-148924.83390568662
2,Venus (299),2460795.500800758,4.867502723242179e+27,605200000.0,-4957714560819.346,-9762976291185.13,151282230898.61343,3103967.926053349,-1593226.5836267842,-200931.49028215974
3,Earth (399),2460795.500800758,5.972410004689819e+27,637800000.0,-11689981924803.588,-9675399918018.504,3063711049.9970627,1851306.1469782928,-2308663.3270400926,68.35076191986644
4,Moon (301),2460795.500800758,7.346086424544091e+25,173750000.0,-11677955858233.385,-9641378891011.354,6193594416.534902,1750580.3926815493,-2268221.761708872,3107.4245798128786
5,Mars (499),2460795.500800758,6.417168519470245e+26,339600000.0,-23737364352539.754,7667629580715.832,745116444200.2554,-661869.2835373479,-2096057.6922059567,-27677.951774551708
6,Phobos (401),2460795.500800758,1.08e+19,11.267e5,-23737730339548.445,7668447166829.905,745342642946.9572,-834265.2070845977,-2197499.108982473,56224.278042346414
7,Deimos (402),2460795.500800758,1.8e+18,6.2e5,-23738095576328.57,7669805482149.95,745595755746.016,-778054.6831160062,-2145687.670252168,20364.886712945114
8,Jupiter Barycenter (5),2460795.500800758,1.898594463914606e+30,7149200000.0,2236598551689.529,76525460673068.12,-367413012468.07574,-1321108.0510339937,100395.51749196656,29144.98130768489
9,Saturn Barycenter (6),2460795.500800758,5.6848088548897734e+29,6026800000.0,142390652490129.78,-16675498630491.547,-5379368730028.335,58792.90713073888,957365.4273137698,-18989.269408673284
10,Uranus Barycenter (7),2460795.500800758,8.682245060330865e+28,2555900000.0,160160915026699.62,244277831721009.44,-1167674737744.3315,-574519.1345694237,341654.13976920955,8711.489731791768
11,Neptune Barycenter (8),2460795.500800758,1.0243476730820807e+29,2476400000.0,446959145953270.1,-3939945984078.5537,-10219493029295.47,1206.7158932377713,546729.6161711228,-11286.734701299642
12,Pluto Barycenter (9),2460795.500800758,1.461635623453895e+25,118800000.0,277527103551819.66,-447299454314331.6,-32413594292957.215,476598.2719985191,166203.45958500484,-155645.05441017263
